#      N    Ka    Kc     J  Itot     F   energy (meV)   lifetime (s)
       0     0     0   1/2     1   3/2       0.000000            inf
       0     0     0   1/2     1   1/2   0.458741E-03            inf
       1     0     1   3/2     0   3/2       2.586099            inf
       1     0     1   1/2     0   1/2       2.596613            inf
       1     1     1   3/2     1   5/2       4.612137      35.287485 ± .000069
       1     1     1   3/2     1   3/2       4.612373      35.284394 ± .000051
       1     1     1   3/2     1   1/2       4.612522      35.284032 ± .000062
       1     1     1   1/2     1   1/2       4.713209      33.122494 ± .000066
       1     1     1   1/2     1   3/2       4.713284      33.125420 ± .000055
       1     1     0   3/2     0   3/2       5.097385     140.314418 ± .000133
       1     1     0   1/2     0   1/2       5.209218     124.178884 ± .000223
       2     0     2   5/2     1   7/2       7.681274     293.576103 ± .001956
       2     0     2   5/2     1   5/2       7.681513     293.627665 ± .001674
       2     0     2   5/2     1   3/2       7.681694     293.587090 ± .001561
       2     0     2   3/2     1   1/2       7.698562     306.674512 ± .001665
       2     0     2   3/2     1   3/2       7.698704     306.665851 ± .001295
       2     0     2   3/2     1   5/2       7.698941     306.601902 ± .001848
       2     1     2   5/2     0   5/2       9.312080      13.152875 ± .000032
       2     1     2   3/2     0   3/2       9.374754      12.843060 ± .000024
       2     1     1   5/2     1   7/2      10.768741      85.753183 ± .000257
       2     1     1   5/2     1   5/2      10.768971      85.734616 ± .000220
       2     1     1   5/2     1   3/2      10.769136      85.740023 ± .000238
       2     1     1   3/2     1   1/2      10.849323      80.530451 ± .000247
       2     1     1   3/2     1   3/2      10.849437      80.536132 ± .000214
       2     1     1   3/2     1   5/2      10.849628      80.346670 ± .000292
       3     0     3   7/2     0   7/2      15.140341      27.594384 ± .000084
       3     0     3   5/2     0   5/2      15.164035      27.873106 ± .000078
       3     1     3   7/2     1   9/2      16.302507       6.450906 ± .000018
       3     1     3   7/2     1   7/2      16.302730       6.452646 ± .000017
       3     1     3   7/2     1   5/2      16.302916       6.451732 ± .000016
       3     1     3   5/2     1   3/2      16.352485       6.376810 ± .000013
       3     1     3   5/2     1   5/2      16.352634       6.377029 ± .000014
       3     1     3   5/2     1   7/2      16.352832       6.376987 ± .000016
       2     2     1   5/2     0   5/2      16.822583       2.341955 ± .000002
       2     2     0   5/2     1   7/2      16.899407       2.397494 ± .000001
       2     2     0   5/2     1   5/2      16.899589       2.396953 ± .000001
       2     2     0   5/2     1   3/2      16.899726       2.396968 ± .000001
